HOMETEAM,AWAYTEAM,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HC,AC,HY,AY,HOMETEAM_VALUE,AWAYTEAM_VALUE,HOMETEAM_AVG_VALUE,AWAYTEAM_AVG_VALUE,HOMETEAM_AVG_AGE,AWAYTEAM_AVG_AGE,B365OVER2_5,B365UNDER2_5,B365H,B365D,B365A,DIV
Watford,Arsenal,2,2,D,0,2,A,7,1,3,3,234000000,682750000,7550000,27310000,27.6,25.1,1.57,2.37,3.6,3.6,2,A Taylor
Aston Villa,West Ham,0,0,D,0,0,D,2,4,2,1,261900000,338750000,9700000,14110000,27,28.7,1.61,2.3,2.62,3.5,2.6,M Dean
Southampton,Bournemouth,1,3,A,0,2,A,4,5,1,3,227000000,343750000,9870000,11460000,25.9,26,1.66,2.2,2.05,3.6,3.5,C Kavanagh
Leicester,Tottenham,2,1,H,0,1,A,8,2,1,2,505250000,977000000,19430000,36190000,26.7,26.4,1.8,2,2.87,3.5,2.37,P Tierney
Burnley,Norwich,2,0,H,2,0,H,7,3,0,1,192750000,152350000,8030000,6350000,29.1,27.6,1.66,2.2,2,3.8,3.5,D Coote
Everton,Sheffield United,0,2,A,0,1,A,12,3,1,3,480700000,119200000,19230000,4260000,27.3,28.3,2,1.8,1.61,3.75,6,S Hooper
Man City,Watford,8,0,H,5,0,H,5,4,2,2,1300000000,234000000,52190000,7550000,27.4,27.6,1.25,4,1.1,11,21,M Dean
Newcastle,Brighton,0,0,D,0,0,D,5,3,2,1,293830000,214750000,9180000,8260000,27.3,27.8,2.3,1.61,2.5,3.2,3,M Atkinson
Crystal Palace,Wolves,1,1,D,0,0,D,6,7,2,1,232800000,330800000,9310000,12720000,28.8,25.4,2.37,1.57,2.62,3.1,2.87,S Attwell
West Ham,Man United,2,0,H,1,0,H,3,7,2,2,338750000,744250000,14110000,29770000,28.7,25.8,1.66,2.2,3.1,3.6,2.2,A Taylor
Arsenal,Aston Villa,3,2,H,0,1,A,9,4,5,1,682750000,261900000,27310000,9700000,25.1,27,1.44,2.75,1.4,4.75,8,J Moss
Chelsea,Liverpool,1,2,A,0,2,A,6,4,3,3,844250000,1190000000,32470000,46660000,26.3,27.9,1.57,2.37,3.5,3.75,2,M Oliver
Sheffield United,Liverpool,0,1,A,0,0,D,6,5,1,1,119200000,1190000000,4260000,46660000,28.3,27.9,1.61,2.3,9,5.25,1.33,A Taylor
Aston Villa,Burnley,2,2,D,1,0,H,7,3,1,4,261900000,192750000,9700000,8030000,27,29.1,1.9,1.9,2.3,3.4,3.1,L Mason
Bournemouth,West Ham,2,2,D,1,1,D,6,6,3,1,343750000,338750000,11460000,14110000,26,28.7,1.57,2.37,2.5,3.5,2.75,S Attwell
Chelsea,Brighton,2,0,H,0,0,D,5,2,2,3,844250000,214750000,32470000,8260000,26.3,27.8,1.66,2.2,1.4,4.75,8,C Kavanagh
Crystal Palace,Norwich,2,0,H,1,0,H,5,5,3,1,232800000,152350000,9310000,6350000,28.8,27.6,1.72,2.1,1.9,3.75,3.75,J Moss
Tottenham,Southampton,2,1,H,2,1,H,6,6,0,2,977000000,227000000,36190000,9870000,26.4,25.9,1.57,2.37,1.4,4.75,8,G Scott
Wolves,Watford,2,0,H,1,0,H,1,6,0,1,330800000,234000000,12720000,7550000,25.4,27.6,1.9,1.9,1.85,3.4,4.5,P Tierney
Everton,Man City,1,3,A,1,1,D,5,2,2,2,480700000,1300000000,19230000,52190000,27.3,27.4,1.5,2.62,10,5.5,1.3,M Oliver
Leicester,Newcastle,5,0,H,1,0,H,9,0,1,1,505250000,293830000,19430000,9180000,26.7,27.3,2,1.8,1.5,4,7.5,C Pawson
Man United,Arsenal,1,1,D,1,0,H,8,7,4,2,744250000,682750000,29770000,27310000,25.8,25.1,1.61,2.3,2.37,3.5,2.9,K Friend
Brighton,Tottenham,3,0,H,2,0,H,4,4,2,1,214750000,977000000,8260000,36190000,27.8,26.4,1.72,2.1,3.9,3.6,1.9,J Moss
Burnley,Everton,1,0,H,0,0,D,7,9,2,1,192750000,480700000,8030000,19230000,29.1,27.3,2.1,1.72,2.87,3.3,2.5,G Scott
Liverpool,Leicester,2,1,H,1,0,H,4,6,1,4,1190000000,505250000,46660000,19430000,27.9,26.7,1.57,2.37,1.44,4.75,7,C Kavanagh
Norwich,Aston Villa,1,5,A,0,2,A,10,6,1,3,152350000,261900000,6350000,9700000,27.6,27,1.57,2.37,2.37,3.6,2.8,A Madley
Watford,Sheffield United,0,0,D,0,0,D,7,7,0,2,234000000,119200000,7550000,4260000,27.6,28.3,2,1.8,2.05,3.4,3.6,A Marriner
West Ham,Crystal Palace,1,2,A,0,0,D,2,2,3,2,338750000,232800000,14110000,9310000,28.7,28.8,1.8,2,1.95,3.6,3.8,M Oliver
Arsenal,Bournemouth,1,0,H,1,0,H,14,5,1,2,682750000,343750000,27310000,11460000,25.1,26,1.33,3.4,1.44,4.75,7,M Atkinson
Man City,Wolves,0,2,A,0,0,D,9,1,5,2,1300000000,330800000,52190000,12720000,27.4,25.4,1.36,3.2,1.12,9,21,C Pawson
Southampton,Chelsea,1,4,A,1,3,A,3,4,0,1,227000000,844250000,9870000,32470000,25.9,26.3,1.72,2.1,4,3.8,1.85,P Tierney
Newcastle,Man United,1,0,H,0,0,D,4,6,3,3,293830000,744250000,9180000,29770000,27.3,25.8,2.2,1.66,4.5,3.5,1.85,M Dean
Everton,West Ham,2,0,H,1,0,H,11,2,2,2,480700000,338750000,19230000,14110000,27.3,28.7,1.72,2.1,1.95,3.75,3.75,P Tierney
Aston Villa,Brighton,2,1,H,1,1,D,7,5,1,2,261900000,214750000,9700000,8260000,27,27.8,1.8,2,2.35,3.4,3,D Coote
Bournemouth,Norwich,0,0,D,0,0,D,6,7,1,3,343750000,152350000,11460000,6350000,26,27.6,1.4,3,1.72,4.2,4.2,L Mason
Chelsea,Newcastle,1,0,H,0,0,D,11,0,2,1,844250000,293830000,32470000,9180000,26.3,27.3,1.57,2.37,1.3,5.5,10,A Marriner
Leicester,Burnley,2,1,H,1,1,D,9,4,0,3,505250000,192750000,19430000,8030000,26.7,29.1,1.9,1.9,1.57,4,6,J Moss
Tottenham,Watford,1,1,D,0,1,A,11,2,4,3,977000000,234000000,36190000,7550000,26.4,27.6,1.53,2.5,1.4,5,7.5,C Kavanagh
Wolves,Southampton,1,1,D,0,0,D,1,3,3,2,330800000,227000000,12720000,9870000,25.4,25.9,2.1,1.72,1.8,3.6,4.5,P Bankes
